county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
48201,Harris,Texas,4/20/20,72300000,208292804,-65.29,72314285.71,-65.28,4/10/20,61714285.71,17.18
48339,Montgomery,Texas,4/17/20,18800000,41917785,-55.15,14452857.14,-65.52,4/8/20,12334285.71,17.18
48339,Montgomery,Texas,3/27/20,17400000,41917785,-58.49,14438571.43,-65.56,4/8/20,12334285.71,17.06
48039,Brazoria,Texas,4/17/20,10000000,19953830,-49.88,7497142.86,-62.43,4/8/20,6410000,16.96
48167,Galveston,Texas,3/28/20,5400000,19131266,-71.77,6805714.29,-64.43,4/9/20,5825714.29,16.82
48039,Brazoria,Texas,3/27/20,8300000,19953830,-58.4,7480000,-62.51,4/8/20,6410000,16.69
48201,Harris,Texas,4/19/20,49100000,208292804,-76.43,71342857.14,-65.75,4/10/20,61714285.71,15.6
48201,Harris,Texas,3/30/20,65200000,208292804,-68.7,71100000,-65.87,4/10/20,61714285.71,15.21
48157,Fort Bend,Texas,4/17/20,10300000,34875882,-70.47,8250000,-76.34,4/10/20,7191428.57,14.72
48039,Brazoria,Texas,3/30/20,6770000,19953830,-66.07,7350000,-63.16,4/8/20,6410000,14.66
48157,Fort Bend,Texas,4/1/20,8970000,34875882,-74.28,8241428.57,-76.37,4/10/20,7191428.57,14.6
48157,Fort Bend,Texas,3/31/20,8650000,34875882,-75.2,8237142.86,-76.38,4/10/20,7191428.57,14.54
48167,Galveston,Texas,3/27/20,7230000,19131266,-62.21,6672857.14,-65.12,4/9/20,5825714.29,14.54
48201,Harris,Texas,4/18/20,67900000,208292804,-67.4,70457142.86,-66.17,4/10/20,61714285.71,14.17
48157,Fort Bend,Texas,4/2/20,8450000,34875882,-75.77,8205714.29,-76.47,4/10/20,7191428.57,14.1
48339,Montgomery,Texas,3/31/20,14500000,41917785,-65.41,14070000,-66.43,4/8/20,12334285.71,14.07
48167,Galveston,Texas,4/17/20,8880000,19131266,-53.58,6637142.86,-65.31,4/9/20,5825714.29,13.93
48339,Montgomery,Texas,4/16/20,16900000,41917785,-59.68,13967142.86,-66.68,4/8/20,12334285.71,13.24
48167,Galveston,Texas,3/30/20,6130000,19131266,-67.96,6580000,-65.61,4/9/20,5825714.29,12.95
48157,Fort Bend,Texas,4/3/20,9030000,34875882,-74.11,8111428.57,-76.74,4/10/20,7191428.57,12.79
48339,Montgomery,Texas,4/1/20,14600000,41917785,-65.17,13884285.71,-66.88,4/8/20,12334285.71,12.57
